state,pollster,start_date,end_date,sample_size,population,candidate_name,pct,party,methodology,outcome,predicted_prob,predicted_winner
Arizona,YouGov,2024-10-11,10/16/24,1435,lv,Kamala Harris,48,DEM,Online Panel,1,0.4687090685815306,REP
Arizona,YouGov,2024-10-11,10/16/24,1435,lv,Donald Trump,51,REP,Online Panel,0,0.4438571475019549,REP
Wisconsin,RMG Research,2024-10-10,10/16/24,787,lv,Kamala Harris,49,DEM,Online Panel,1,0.46086081328902984,REP
Wisconsin,RMG Research,2024-10-10,10/16/24,787,lv,Donald Trump,50,REP,Online Panel,0,0.45257400233994993,REP
Michigan,RMG Research,2024-10-10,10/16/24,789,lv,Kamala Harris,49,DEM,Online Panel,1,0.4608593960094011,REP
Michigan,RMG Research,2024-10-10,10/16/24,789,lv,Donald Trump,49,REP,Online Panel,0,0.4608593960094011,REP
Texas,ActiVote,2024-09-26,10/16/24,400,lv,Kamala Harris,44.2,DEM,App Panel,1,0.5011344719112202,DEM
Texas,ActiVote,2024-09-26,10/16/24,400,lv,Donald Trump,55.8,REP,App Panel,0,0.40543188215885667,REP
Tennessee,ActiVote,2024-09-24,10/16/24,400,lv,Kamala Harris,37.6,DEM,App Panel,1,0.5560056682175017,DEM
Tennessee,ActiVote,2024-09-24,10/16/24,400,lv,Donald Trump,62.4,REP,App Panel,0,0.35358650646701895,REP
Massachusetts,ActiVote,2024-09-06,10/16/24,400,lv,Kamala Harris,66.6,DEM,App Panel,1,0.3222209011255382,REP
Massachusetts,ActiVote,2024-09-06,10/16/24,400,lv,Donald Trump,33.4,REP,App Panel,0,0.590308190342854,DEM
Arizona,Morning Consult,2024-10-06,10/15/24,653,lv,Kamala Harris,49,DEM,Online Panel,1,0.4609557724645925,REP
Arizona,Morning Consult,2024-10-06,10/15/24,653,lv,Donald Trump,48,REP,Online Panel,0,0.4692644963737901,REP
Georgia,Morning Consult,2024-10-06,10/15/24,1002,lv,Kamala Harris,48,DEM,Online Panel,1,0.4690166041471668,REP
Georgia,Morning Consult,2024-10-06,10/15/24,1002,lv,Donald Trump,49,REP,Online Panel,0,0.4607084593561428,REP
Maryland,Morning Consult,2024-10-06,10/15/24,490,lv,Kamala Harris,64,DEM,Online Panel,1,0.3414126769049378,REP
Maryland,Morning Consult,2024-10-06,10/15/24,490,lv,Donald Trump,31,REP,Online Panel,0,0.6094828220311796,DEM
Michigan,Morning Consult,2024-10-06,10/15/24,1065,lv,Kamala Harris,49,DEM,Online Panel,1,0.4606638175001713,REP
Michigan,Morning Consult,2024-10-06,10/15/24,1065,lv,Donald Trump,47,REP,Online Panel,0,0.4772971324291938,REP
Nevada,Morning Consult,2024-10-06,10/15/24,496,lv,Kamala Harris,49,DEM,Online Panel,1,0.46106703420794315,REP
Nevada,Morning Consult,2024-10-06,10/15/24,496,lv,Donald Trump,45,REP,Online Panel,0,0.49438660033294013,REP
North Carolina,Morning Consult,2024-10-06,10/15/24,1072,lv,Kamala Harris,48,DEM,Online Panel,1,0.46896688548022236,REP
North Carolina,Morning Consult,2024-10-06,10/15/24,1072,lv,Donald Trump,49,REP,Online Panel,0,0.4606588573328924,REP
Ohio,Morning Consult,2024-10-06,10/15/24,1243,lv,Kamala Harris,45,DEM,Online Panel,1,0.4938540563585156,REP
Ohio,Morning Consult,2024-10-06,10/15/24,1243,lv,Donald Trump,52,REP,Online Panel,0,0.4357636705625604,REP
Pennsylvania,Morning Consult,2024-10-06,10/15/24,1395,lv,Kamala Harris,49,DEM,Online Panel,1,0.46042998953315784,REP
Pennsylvania,Morning Consult,2024-10-06,10/15/24,1395,lv,Donald Trump,48,REP,Online Panel,0,0.46873747734072924,REP
Texas,Morning Consult,2024-10-06,10/15/24,2048,lv,Kamala Harris,46,DEM,Online Panel,1,0.4849347604052532,REP
Texas,Morning Consult,2024-10-06,10/15/24,2048,lv,Donald Trump,50,REP,Online Panel,0,0.4516831401308096,REP
Wisconsin,Morning Consult,2024-10-06,10/15/24,527,lv,Kamala Harris,47,DEM,Online Panel,1,0.4776799536398187,REP
Wisconsin,Morning Consult,2024-10-06,10/15/24,527,lv,Donald Trump,48,REP,Online Panel,0,0.46935399701375424,REP
Wisconsin,Patriot Polling,2024-10-12,10/14/24,803,rv,Kamala Harris,49,DEM,IVR,1,0.46084947506972085,REP
Wisconsin,Patriot Polling,2024-10-12,10/14/24,803,rv,Donald Trump,50,REP,IVR,0,0.45256269685935197,REP
California,Emerson,2024-10-12,10/14/24,1000,lv,Kamala Harris,61,DEM,IVR/Online Panel,1,0.36394904416863694,REP
California,Emerson,2024-10-12,10/14/24,1000,lv,Donald Trump,36.6,REP,IVR/Online Panel,0,0.5638135381285763,DEM
North Carolina,Redfield & Wilton Strategies,2024-10-12,10/14/24,620,lv,Kamala Harris,46,DEM,Online Panel,1,0.4859520738329693,REP
North Carolina,Redfield & Wilton Strategies,2024-10-12,10/14/24,620,lv,Donald Trump,48,REP,Online Panel,0,0.4692879368267303,REP
Arizona,Redfield & Wilton Strategies,2024-10-12,10/14/24,1141,lv,Kamala Harris,46,DEM,Online Panel,1,0.485580897228633,REP
Arizona,Redfield & Wilton Strategies,2024-10-12,10/14/24,1141,lv,Donald Trump,48,REP,Online Panel,0,0.4689178776828686,REP
Florida,Redfield & Wilton Strategies,2024-10-12,10/14/24,1009,lv,Kamala Harris,44,DEM,Online Panel,1,0.5023701487932027,DEM
Florida,Redfield & Wilton Strategies,2024-10-12,10/14/24,1009,lv,Donald Trump,50,REP,Online Panel,0,0.45241714317253257,REP
Georgia,Redfield & Wilton Strategies,2024-10-12,10/14/24,637,lv,Kamala Harris,47,DEM,Online Panel,1,0.47760167949782656,REP
Georgia,Redfield & Wilton Strategies,2024-10-12,10/14/24,637,lv,Donald Trump,47,REP,Online Panel,0,0.47760167949782656,REP
Michigan,Redfield & Wilton Strategies,2024-10-12,10/14/24,682,lv,Kamala Harris,47,DEM,Online Panel,1,0.47756965857476025,REP
Michigan,Redfield & Wilton Strategies,2024-10-12,10/14/24,682,lv,Donald Trump,47,REP,Online Panel,0,0.47756965857476025,REP
Minnesota,Redfield & Wilton Strategies,2024-10-12,10/14/24,544,lv,Kamala Harris,51,DEM,Online Panel,1,0.44448451783446313,REP
Minnesota,Redfield & Wilton Strategies,2024-10-12,10/14/24,544,lv,Donald Trump,43,REP,Online Panel,0,0.5110494921016825,DEM
Nevada,Redfield & Wilton Strategies,2024-10-12,10/14/24,838,lv,Kamala Harris,47,DEM,Online Panel,1,0.4774586541371526,REP
Nevada,Redfield & Wilton Strategies,2024-10-12,10/14/24,838,lv,Donald Trump,47,REP,Online Panel,0,0.4774586541371526,REP
New Mexico,Redfield & Wilton Strategies,2024-10-12,10/14/24,382,lv,Kamala Harris,49,DEM,Online Panel,1,0.4611478254214519,REP
